"RunID","Run","School","Type","Run Time","Start X","Start Y","BT(AM)","Window"
"1","1","1","ES","23","27.566","24.714","190","15"
"2","2","1","ES","27","27.705","24.851","190","15"
"3","3","1","ES","11","28.247","24.684","190","15"
"4","4","1","ES","25","27.816","24.108","190","15"
"5","5","1","ES","20","28.631","24.531","190","15"
"6","6","1","ES","17","29.554","24.141","190","15"
"7","43","6","MS","50","36.977","25.491","85","20"
"8","44","6","MS","30","38.445","25.811","85","20"
"9","62","19","HS","111","26.677","27.486","75","20"
"10","64","19","HS","94","25.284","24.604","75","20"
